rad,str,cp,char
5,8,131316,𠃴
5,8,131317,𠃵
5,8,131318,𠃶
5,8,131319,𠃷
5,8,173845,𪜕
5,8,178281,𫡩
5,8,184104,𬼨
5,8,184105,𬼩
5,8,184106,𬼪
5,8,184107,𬼫
5,8,196676,𰁄
5,8,196677,𰁅
5,8,196678,𰁆
5,8,196679,𰁇
5,8,196680,𰁈
5,8,201607,𱎇
5,8,205799,𲏧
5,8,205800,𲏨
5,8,205801,𲏩
5,8,205802,𲏪
5,9,20093,乽
5,9,131320,𠃸
5,9,131321,𠃹
5,9,131322,𠃺
5,9,131323,𠃻
5,9,150625,𤱡
5,9,173846,𪜖
5,9,173847,𪜗
5,9,178282,𫡪
5,9,178283,𫡫
5,9,178284,𫡬
5,9,184108,𬼬
5,9,184109,𬼭
5,9,196681,𰁉
5,9,196682,𰁊
5,9,196683,𰁋
5,9,201608,𱎈
5,9,201609,𱎉
5,9,201610,𱎊
5,9,201611,𱎋
5,9,205803,𲏫
5,9,205804,𲏬
5,9,205805,𲏭
5,9,205806,𲏮
5,9,205807,𲏯
5,10,13345,㐡
5,10,13346,㐢
5,10,13347,㐣
5,10,20094,乾
5,10,20095,乿
5,10,20096,亀
5,10,131324,𠃼
5,10,131325,𠃽
5,10,131326,𠃾
5,10,131327,𠃿
5,10,131328,𠄀
5,10,131329,𠄁
5,10,131330,𠄂
5,10,173848,𪜘
5,10,178285,𫡭
5,10,178286,𫡮
5,10,184110,𬼮
5,10,184111,𬼯
5,10,184112,𬼰
5,10,184113,𬼱
5,10,196684,𰁌
5,10,205808,𲏰
5,10,205809,𲏱
5,10,205810,𲏲
5,10,205811,𲏳
5,10,205812,𲏴
5,10,205813,𲏵
5,11,13348,㐤
5,11,20097,亁
5,11,153408,𥝀
5,11,173849,𪜙
5,11,173850,𪜚
5,11,184114,𬼲
5,11,184115,𬼳
5,11,184116,𬼴
5,11,196685,𰁍
5,11,201612,𱎌
5,11,201613,𱎍
5,11,205814,𲏶
5,11,205815,𲏷
5,11,205816,𲏸
5,12,20098,亂
5,12,20099,亃
5,12,20100,亄
5,12,63771,亂
5,12,131331,𠄃
5,12,131332,𠄄
5,12,173851,𪜛
5,12,178287,𫡯
5,12,178288,𫡰
5,12,184117,𬼵
5,12,201614,𱎎
5,12,205817,𲏹
5,12,205818,𲏺
5,12,205819,𲏻
5,13,131333,𠄅
5,13,131334,𠄆
5,13,131335,𠄇
5,13,131336,𠄈
5,13,139681,𢆡
5,13,196686,𰁎
5,13,201615,𱎏
5,13,205820,𲏼
5,13,205821,𲏽
5,13,205822,𲏾
5,14,196687,𰁏
5,15,13349,㐥
5,15,196688,𰁐
5,15,205823,𲏿
5,15,205824,𲐀
5,16,131337,𠄉
5,16,196689,𰁑
5,16,201616,𱎐
5,18,13350,㐦
5,18,131338,𠄊
5,19,131339,𠄋
6,0,20101,亅
6,0,131340,𠄌
6,1,20102,了
6,1,63930,了
6,1,131341,𠄍
6,1,131342,𠄎
6,1,131343,𠄏
6,1,131344,𠄐
6,2,20103,亇
6,2,131345,𠄑
6,2,184118,𬼶
6,2,184119,𬼷
6,2,184120,𬼸
6,3,13351,㐧
6,3,20104,予
